"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"11","서울특별시 강서구 마곡동","784-11","0784","0011","마곡오드카운티1차","전세","19.6400","202312","30","12,870","0","4","2016"," ","202402~202602","신규","-","",""
"12","서울특별시 강서구 마곡동","784-8","0784","0008","벨리오","전세","20.5700","202312","30","13,300","0","7","2015"," ","202402~202602","신규","-","",""
"13","서울특별시 강서구 마곡동","784-8","0784","0008","벨리오","전세","20.5800","202312","30","13,300","0","4","2015"," ","202401~202601","신규","-","",""
"14","서울특별시 강서구 마곡동","776-4","0776","0004","엠코지니어스타","전세","25.9500","202312","30","17,860","0","14","2015","강서로 471","202402~202602","신규","-","",""
"15","서울특별시 송파구 잠실동","250","0250","0000","뜨레피움2차","전세","25.6000","202312","30","26,500","0","7","2019","백제고분로19길 4","202401~202601","신규","-","",""
"16","서울특별시 송파구 문정동","618","0618","0000","파크하비오","전세","27.5300","202312","30","24,000","0","5",""," ","202401~202601","신규","-","",""
"17","서울특별시 서초구 서초동","1445-14","1445","0014","더?서초","전세","36.2700","202312","30","28,000","0","10","2006","서초중앙로 14","202402~202602","신규","-","",""
"18","서울특별시 송파구 문정동","639-5","0639","0005","힐스테이트에코송파","전세","21.0600","202312","30","17,300","0","9","2017","정의로7길 13","202402~202602","신규","-","",""
"19","서울특별시 송파구 문정동","639-5","0639","0005","힐스테이트에코송파","전세","21.0600","202312","30","18,900","0","7","2017","정의로7길 13","202401~202601","신규","-","",""
"20","서울특별시 종로구 창신동","255-1","0255","0001","(255-1)","전세","15.5900","202312","30","21,400","0","7","2021","지봉로 37-29","202401~202601","신규","-","",""
"21","서울특별시 광진구 화양동","527","0527","0000","KCC파크타운","전세","25.7900","202312","30","16,000","0","15","2005","광나루로 410","202402~202602","신규","-","",""
"22","서울특별시 송파구 문정동","618","0618","0000","파크하비오","전세","47.3700","202312","30","32,400","0","15",""," ","202401~202501","신규","-","",""
"23","서울특별시 영등포구 당산동5가","11-32","0011","0032","당산역리버뷰한강","전세","16.7800","202312","30","25,500","0","5","2021","양평로 11","202402~202602","신규","-","",""
"24","서울특별시 마포구 공덕동","475","0475","0000","공덕푸르지오시티","전세","38.1500","202312","30","28,000","0","20","2013","마포대로 156","202401~202601","신규","-","",""
"25","서울특별시 송파구 문정동","652","0652","0000","송파법조타운푸르지오시티","전세","20.4500","202312","30","19,300","0","12","2018","법원로4길 5","202401~202601","신규","-","",""
"26","서울특별시 송파구 문정동","652-5","0652","0005","문정 아이파크","전세","22.4000","202312","30","20,500","0","11","2017","법원로4길 6","202402~202602","신규","-","",""
"27","서울특별시 영등포구 영등포동2가","94-154","0094","0154","여의도 디앤써밋","전세","27.9800","202312","30","25,700","0","5","2019","버드나루로 23","202401~202601","신규","-","",""
"28","서울특별시 강서구 가양동","448-11","0448","0011","가양글로벌퍼스트","전세","28.1200","202312","30","24,300","0","12","2018","화곡로72길 62","202402~202602","신규","-","",""
"29","서울특별시 은평구 불광동","281-141","0281","0141","두진 아이브","전세","47.4700","202312","30","27,000","0","3","2015","통일로66길 6-7","202402~202602","신규","-","",""
"30","서울특별시 동대문구 전농동","620-15","0620","0015","청량리역 우남SL타워300","전세","18.4300","202312","30","21,000","0","18","2023","왕산로 186","202401~202601","신규","-","",""
"31","서울특별시 용산구 청파동3가","80-6","0080","0006","용산 다올 노블리움","전세","18.0400","202312","30","19,950","0","12","2020","청파로 251","202402~202602","신규","-","",""
"32","서울특별시 구로구 오류동","9-35","0009","0035","예성타워","전세","32.5500","202312","30","24,500","0","5","2022","고척로4길 8","202401~202601","신규","-","",""
"33","서울특별시 영등포구 여의도동","12-3","0012","0003","(주)신한 여의도 드림리버 오피스텔","전세","29.5900","202312","30","32,000","0","5","2019","은행로 54","202402~202602","신규","-","",""
"34","서울특별시 서대문구 홍제동","158-11","0158","0011","제니스","전세","22.7600","202312","30","17,000","0","6","2020","통일로35길 14-4","202402~202602","신규","-","",""
"35","서울특별시 서대문구 북아현동","154-6","0154","0006","헤센 스마트 더 센트럴","전세","20.9800","202312","30","27,000","0","17","2023","신촌로33길 16","202401~202601","신규","-","",""
"36","서울특별시 동작구 노량진동","16-1","0016","0001","노량진 드림스퀘어 복합빌딩","전세","24.1300","202312","30","19,900","0","6","2020","노들로2길 7","202402~202602","신규","-","",""
"37","서울특별시 은평구 응암동","88-8","0088","0008","응암아네스트","전세","19.6600","202312","30","11,500","0","6","2014","은평로 123","202402~202602","신규","-","",""
"38","서울특별시 금천구 가산동","535-7","0535","0007","G밸리 하우스디 어반","전세","19.3700","202312","30","15,600","0","14","2019","서부샛길 714","202401~202601","신규","-","",""
"39","서울특별시 도봉구 창동","749-15","0749","0015","라르플레이스2단지","전세","29.1600","202312","30","18,600","0","6","2019","도봉로136길 19","202401~202601","신규","-","",""
"40","서울특별시 영등포구 문래동3가","82-11","0082","0011","썬샤인","전세","35.6400","202312","30","31,500","0","2","2019","영등포로20길 22-10","202401~202601","신규","-","",""
"41","서울특별시 서대문구 대현동","56-119","0056","0119","SONG'S 8","전세","20.3000","202312","30","17,000","0","9","2015","이화여대5길 12","202401~202601","신규","-","",""
"42","서울특별시 중구 황학동","970","0970","0000","다베로","전세","45.8400","202312","30","44,000","0","3","2021","난계로13길 10-5","202401~202601","신규","-","",""
"43","서울특별시 금천구 독산동","1004-13","1004","0013","명남더블레스","전세","16.2200","202312","30","12,600","0","8","2018","벚꽃로 110","202402~202602","신규","-","",""
"44","서울특별시 중구 황학동","1153","1153","0000","청계아델리아 II","전세","46.2200","202312","30","38,000","0","12","2022","마장로 113","202402~202602","신규","-","",""
"45","서울특별시 송파구 방이동","43-2","0043","0002","잠실 트리움","전세","24.8300","202312","30","23,000","0","16","2019","오금로11길 43","202402~202602","신규","-","",""
"46","서울특별시 송파구 문정동","618","0618","0000","파크하비오","전세","48.9600","202312","30","40,000","0","6",""," ","202401~202601","신규","-","",""
"47","서울특별시 영등포구 영등포동7가","94-52","0094","0052","루브르씨티","전세","28.7300","202312","30","25,000","0","3","2019","버드나루로 81","202401~202601","신규","-","",""
"48","서울특별시 강서구 염창동","262-5","0262","0005","목동더채움","전세","62.0100","202312","30","47,000","0","16","2023","공항대로75길 54","202402~202601","신규","-","",""
"49","서울특별시 구로구 구로동","1130-23","1130","0023","골드마인(Ⅲ)오피스텔","전세","12.9000","202312","30","6,150","0","2","2002","디지털로32다길 50","202401~202601","신규","-","",""
"50","서울특별시 구로구 구로동","650-4","0650","0004","SK 허브수 ","전세","37.5300","202312","30","18,500","0","5","2005","구일로10길 27","202401~202601","신규","-","",""
"51","서울특별시 영등포구 도림동","820","0820","0000","쌍용플래티넘시티1단지","전세","62.8800","202312","30","34,200","0","5","2006","도영로7길 15","202402~202602","신규","-","",""
"52","서울특별시 종로구 숭인동","217-16","0217","0016","블루카운티 숭인Ⅰ","전세","27.0300","202312","30","24,000","0","8","2020","종로62길 23","202402~202602","신규","-","",""
"53","서울특별시 마포구 성산동","593-5","0593","0005","상암미르웰한올림","전세","16.3600","202312","30","14,000","0","7","2018","모래내로3길 11","202402~202602","신규","-","",""
"54","서울특별시 영등포구 영등포동8가","59-2","0059","0002","신현빌","전세","29.6800","202312","30","30,000","0","5","2023","영중로 134","202401~202601","신규","-","",""
"55","서울특별시 구로구 신도림동","433-24","0433","0024","힐스테이트 신도림역 센트럴","전세","18.1500","202312","30","18,000","0","11","2023","경인로 625","202401~202601","신규","-","",""
"56","서울특별시 강서구 등촌동","63-12","0063","0012","어위쉬 예다인","전세","78.7800","202312","30","38,000","0","14","2008","양천로 452","202401~202601","신규","-","",""
"57","서울특별시 서대문구 합동","117","0117","0000","충정로대우디오빌","전세","61.2200","202312","30","40,000","0","6","2006","서소문로 37","202401~202601","신규","-","",""
"58","서울특별시 마포구 성산동","591-1","0591","0001","이안상암","전세","60.6200","202312","30","38,000","0","10","2005","월드컵로 204","202403~202603","신규","-","",""
"59","서울특별시 광진구 광장동","108","0108","0000","효성리버카운티","전세","24.0400","202312","30","12,000","0","11","2003","아차산로78길 56","202403~202603","신규","-","",""
"60","서울특별시 강서구 등촌동","685","0685","0000","경동미르웰양천향교2차","전세","29.6800","202312","30","25,600","0","7","2020","강서로56가길 166","202401~202601","신규","-","",""
"61","서울특별시 강남구 자곡동","662","0662","0000","강남 지웰홈스","전세","29.4900","202312","30","21,000","0","8","2014","자곡로 204-5","202402~202602","신규","-","",""
"62","서울특별시 영등포구 영등포동3가","20","0020","0000","WD스퀘어","전세","16.1700","202312","30","15,500","0","3","2020","영중로4길 9","202401~202601","신규","-","",""
"63","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","42.5300","202312","29","20,000","0","4","2023","용마산로 670","202401~202601","신규","-","",""
"64","서울특별시 영등포구 양평동5가","51","0051","0000","에듀시티에비앙","전세","28.6000","202312","29","28,390","0","4","2017","양평로 160","202402~202602","신규","-","",""
"65","서울특별시 동작구 신대방동","719","0719","0000","동작상떼빌","전세","38.0700","202312","29","23,000","0","15","2006","신대방1가길 38","202402~202602","신규","-","",""
"66","서울특별시 은평구 대조동","197-3","0197","0003","(197-3)","전세","17.1400","202312","29","13,700","0","4","2020","연서로28길 12","202401~202601","신규","-","",""
"67","서울특별시 영등포구 영등포동3가","17-3","0017","0003","더-위일 신세계","전세","17.6600","202312","29","16,900","0","4","2020","영중로8길 15","202402~202602","신규","-","",""
"68","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","전세","17.6200","202312","29","13,200","0","17","2020","디지털로10길 69","202402~202602","신규","-","",""
"69","서울특별시 광진구 구의동","243-71","0243","0071","구의동 벨라로사 오피스텔","전세","22.3300","202312","29","18,460","0","4","2019","아차산로 405","202401~202601","신규","-","",""
"70","서울특별시 송파구 방이동","22-5","0022","0005","잠실리시온","전세","43.0500","202312","29","28,500","0","16","2004","오금로 87","202402~202602","신규","-","",""
"71","서울특별시 송파구 방이동","49-11","0049","0011","한 스위트 올림픽파크","전세","15.9800","202312","29","18,000","0","4","2020","백제고분로51길 9","202402~202602","신규","-","",""
"72","서울특별시 송파구 방이동","47","0047","0000","잠실헤리츠","전세","16.4300","202312","29","16,800","0","12","2017"," ","202402~202602","신규","-","",""
"73","서울특별시 강남구 역삼동","837-13","0837","0013","강남역 와이즈 플레이스","전세","23.8700","202312","29","22,000","0","12","2013","강남대로66길 14","202401~202601","신규","-","",""
"74","서울특별시 동대문구 전농동","620-15","0620","0015","청량리역 우남SL타워300","전세","18.4300","202312","29","20,000","0","19","2023","왕산로 186","202401~202601","신규","-","",""
"75","서울특별시 금천구 시흥동","122-6","0122","0006","가우디캐슬","전세","70.5200","202312","29","22,000","0","3","2016","금하로5길 2","202401~202601","신규","-","",""
"76","서울특별시 금천구 시흥동","999-1","0999","0001","도일산호시티빌","전세","37.8000","202312","29","14,600","0","12","2003","시흥대로 251","202402~202602","신규","-","",""
"77","서울특별시 구로구 오류동","9-231","0009","0231","오류동 삼전솔하임","전세","48.0800","202312","29","28,800","0","16","2020","경인로 187","202402~202602","신규","-","",""
"78","서울특별시 영등포구 영등포동7가","94-61","0094","0061","여의리버파크","전세","36.8900","202312","29","27,000","0","6","2019","국회대로55길 5","202401~202601","신규","-","",""
"79","서울특별시 구로구 고척동","76-14","0076","0014","고척동 헤리움 더원","전세","19.0100","202312","29","15,000","0","7","2021","중앙로 18","202401~202601","신규","-","",""
"80","서울특별시 영등포구 영등포동7가","94-218","0094","0218","위더스하임 ll","전세","28.2700","202312","29","25,500","0","6","2021","국회대로56길 9","202402~202602","신규","-","",""
"81","서울특별시 강남구 세곡동","584","0584","0000","센트라빌","전세","44.2900","202312","29","35,000","0","6","2017"," ","202403~202603","신규","-","",""
"82","서울특별시 구로구 신도림동","433-24","0433","0024","힐스테이트 신도림역 센트럴","전세","18.1500","202312","29","19,700","0","19","2023","경인로 625","202401~202601","신규","-","",""
"83","서울특별시 구로구 신도림동","433-24","0433","0024","힐스테이트 신도림역 센트럴","전세","18.1500","202312","29","18,500","0","7","2023","경인로 625","202401~202601","신규","-","",""
"84","서울특별시 강남구 도곡동","168","0168","0000","에스케이리더스뷰","전세","139.6300","202312","29","130,000","0","21","2005","남부순환로 2763","202402~202602","신규","-","",""
"85","서울특별시 강서구 내발산동","678-30","0678","0030","에스엠파크뷰","전세","34.7900","202312","29","23,800","0","3","2019","강서로 317","202401~202601","신규","-","",""
"86","서울특별시 강서구 마곡동","793-9","0793","0009","플레이스에이치","전세","18.3800","202312","29","12,500","0","9","2015"," ","202402~202602","신규","-","",""
"87","서울특별시 용산구 문배동","24-4","0024","0004","용산큐브","전세","17.4600","202312","29","16,400","0","13","2013","백범로90길 12","202402~202602","신규","-","",""
"88","서울특별시 강서구 마곡동","758-4","0758","0004","마곡럭스나인오피스텔","전세","21.8700","202312","29","15,000","0","9","2016"," ","202401~202601","신규","-","",""
"89","서울특별시 강서구 마곡동","784-11","0784","0011","마곡오드카운티1차","전세","20.8200","202312","29","15,100","0","8","2016"," ","202402~202502","신규","-","",""
"90","서울특별시 강서구 마곡동","760-2","0760","0002","마곡나루역캐슬파크","전세","23.3900","202312","29","18,900","0","4","2016","마곡중앙로 161-1","202402~202602","신규","-","",""
"91","서울특별시 영등포구 양평동6가","2-1","0002","0001","선유도 노블레르","전세","49.3700","202312","29","42,000","0","4","2022","양평로28가길 1","202401~202601","신규","-","",""
"92","서울특별시 서초구 서초동","1338-20","1338","0020","서초현대렉시온","전세","34.0000","202312","29","27,000","0","19","2005","강남대로 305","202401~202601","신규","-","",""
"93","서울특별시 강서구 마곡동","760-1","0760","0001","힐스테이트에코 마곡나루역 라마다앙코르 서울마곡","전세","20.8400","202312","29","16,500","0","8","2017","마곡중앙로 161-11","202401~202601","신규","-","",""
"94","서울특별시 강서구 마곡동","776-2","0776","0002","마곡센트럴대방디엠시티오피스텔","전세","29.4800","202312","29","21,300","0","4","2017","양천로 344","202401~202601","신규","-","",""
"95","서울특별시 강서구 마곡동","776-4","0776","0004","엠코지니어스타","전세","23.8400","202312","29","13,000","0","5","2015","강서로 471","202402~202602","신규","-","",""
"96","서울특별시 송파구 가락동","78-1","0078","0001","한화오벨리스크","전세","30.3400","202312","29","15,000","0","12","2004","중대로 127","202401~202601","신규","-","",""
"97","서울특별시 은평구 불광동","281-134","0281","0134","베라체","전세","45.1800","202312","29","26,000","0","5","2021"," ","202402~202602","신규","-","",""
"98","서울특별시 영등포구 여의도동","525","0525","0000","브라이튼 여의도","전세","29.5600","202312","29","43,000","0","49","2023","국제금융로 39","202401~202601","신규","-","",""
"99","서울특별시 동대문구 휘경동","336-32","0336","0032","캠퍼스드림오피스텔","전세","21.2900","202312","29","18,400","0","4","2020","이문로 10","202401~202601","신규","-","",""
"100","서울특별시 강서구 화곡동","1097-5","1097","0005","제이투리더스뷰 2차","전세","28.0700","202312","29","24,100","0","5","2022","우장산로 127","202401~202501","신규","-","",""
"101","서울특별시 강서구 등촌동","721","0721","0000","동양하우징","전세","37.8200","202312","29","27,500","0","5","2019"," ","202401~202601","신규","-","",""
"102","서울특별시 강서구 등촌동","75-1","0075","0001","삼부르네상스","전세","60.8000","202312","29","32,000","0","3","2004","양천로 482","202402~202602","신규","-","",""
"103","서울특별시 종로구 숭인동","55-6","0055","0006","수석컴비즈텔","전세","23.8400","202312","29","8,600","0","6","2002","지봉로 82","202402~202602","신규","-","",""
"104","서울특별시 서대문구 대현동","27-27","0027","0027","(27-27)","전세","25.0600","202312","29","26,000","0","4","2023","신촌역로 20","202402~202602","신규","-","",""
"105","서울특별시 서대문구 대현동","27-51","0027","0051","에스엠케이타워","전세","14.7700","202312","29","16,300","0","4","2021","이화여대7길 46","202402~202602","신규","-","",""
"106","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","84.8500","202312","29","38,000","0","8","2023","용마산로 670","202401~202601","신규","-","",""
"107","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","42.5300","202312","29","25,000","0","17","2023","용마산로 670","202401~202601","신규","-","",""
"108","서울특별시 서대문구 연희동","340-27","0340","0027","현대싱그런","전세","86.1700","202312","29","30,000","0","11","2007","성산로 371","202402~202602","신규","-","",""
"109","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","전세","31.0100","202312","29","26,000","0","11","2016"," ","202402~202602","신규","-","",""
"110","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","전세","32.5300","202312","29","30,000","0","9","2016"," ","202403~202603","신규","-","",""
"111","서울특별시 마포구 아현동","437-3","0437","0003","고려아카데미텔","전세","45.8500","202312","29","18,000","0","5","1987","마포대로 196","202402~202602","신규","-","",""
"112","서울특별시 송파구 문정동","622","0622","0000","송파한화오벨리스크","전세","68.1500","202312","29","52,000","0","8","2013","충민로 5","202402~202602","신규","-","",""
"113","서울특별시 송파구 문정동","618","0618","0000","파크하비오","전세","50.1100","202312","29","39,500","0","3",""," ","202402~202602","신규","-","",""
"114","서울특별시 강동구 강일동","675-1","0675","0001","강일타워","전세","28.8400","202312","29","11,000","0","6","2011","아리수로93길 27","202402~202602","신규","-","",""
"115","서울특별시 송파구 거여동","605","0605","0000","휴먼빌 시티","전세","26.5200","202312","28","20,940","0","12","2020","위례송파로3길 12","202401~202601","신규","-","",""
"116","서울특별시 강동구 천호동","155-5","0155","0005","강동역두산위브센티움","전세","31.4300","202312","28","15,500","0","3","2004","성안로 155","202402~202602","신규","-","",""
"117","서울특별시 강서구 화곡동","24-345","0024","0345","서경팰리스","전세","31.1100","202312","28","20,000","0","4","2019","화곡로44가길 9","202401~202601","신규","-","",""
"118","서울특별시 강서구 화곡동","987-7","0987","0007","원타워 5차 오피스텔","전세","17.0400","202312","28","17,600","0","9","2021","화곡로 289","202401~202601","신규","-","",""
"119","서울특별시 강서구 화곡동","987-7","0987","0007","원타워 5차 오피스텔","전세","17.0400","202312","28","16,500","0","17","2021","화곡로 289","202401~202601","신규","-","",""
"120","서울특별시 용산구 서계동","219-17","0219","0017","서울역풍림아이원플러스","전세","28.1100","202312","28","23,000","0","4","2004","만리재로 202","202401~202601","신규","-","",""
"121","서울특별시 구로구 신도림동","433-24","0433","0024","힐스테이트 신도림역 센트럴","전세","18.1500","202312","28","18,000","0","4","2023","경인로 625","202401~202601","신규","-","",""
"122","서울특별시 서대문구 합동","117","0117","0000","충정로대우디오빌","전세","30.8600","202312","28","21,000","0","3","2006","서소문로 37","202402~202602","신규","-","",""
"123","서울특별시 중구 황학동","19","0019","0000","주건축물제1동","전세","23.8100","202312","28","15,500","0","5","2017","마장로9길 49-17","202401~202601","신규","-","",""
"124","서울특별시 동작구 노량진동","57-1","0057","0001","메가스터디타워","전세","19.2800","202312","28","15,500","0","10","2015","노량진로 140","202401~202601","신규","-","",""
"125","서울특별시 구로구 오류동","46-1","0046","0001","이좋은집","전세","34.0700","202312","28","13,000","0","10","2005","경인로20나길 30","202401~202601","신규","-","",""
"126","서울특별시 강서구 등촌동","641-8","0641","0008","베르데하우스","전세","27.9000","202312","28","25,500","0","7","2021","화곡로64길 63","202401~202601","신규","-","",""
"127","서울특별시 강서구 등촌동","828","0828","0000","(115-6)","전세","13.9200","202312","28","16,200","0","2","2020","강서로74길 52","202401~202601","신규","-","",""
"128","서울특별시 성동구 용답동","229-11","0229","0011","용답동 큐브스테이트","전세","17.7200","202312","28","18,740","0","14","2020","자동차시장1길 35","202401~202601","신규","-","",""
"129","서울특별시 도봉구 창동","647-11","0647","0011","북한산현대홈시티","전세","60.9700","202312","28","30,000","0","13","2005","도봉로104길 49-21","202401~202601","신규","-","",""
"130","서울특별시 구로구 구로동","651-2","0651","0002","퀸즈파크 구일","전세","17.3600","202312","28","12,600","0","5","2019","구일로 130","202402~202602","신규","-","",""
"131","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202312","28","28,000","0","12","2019","영동대로85길 20","202312~202412","신규","-","",""
"132","서울특별시 서대문구 대현동","90-47","0090","0047","에스엠더포레스트2차","전세","17.2100","202312","28","20,000","0","9","2023","이화여대1안길 21","202401~202601","신규","-","",""
"133","서울특별시 서대문구 대현동","37-49","0037","0049","에스엠오피스텔","전세","14.9800","202312","28","17,000","0","8","2022","이화여대5길 24","202402~202602","신규","-","",""
"134","서울특별시 마포구 신공덕동","3-3","0003","0003","블루마리오피스텔","전세","18.0200","202312","28","16,500","0","16","2017"," ","202401~202601","신규","-","",""
"135","서울특별시 영등포구 영등포동2가","28-132","0028","0132","리코하이빌","전세","32.1700","202312","28","29,000","0","2","2023","국회대로54길 73","202401~202601","신규","-","",""
"136","서울특별시 영등포구 영등포동7가","94-184","0094","0184","금강하우징","전세","34.2200","202312","28","26,700","0","5","2019","국회대로56길 12","202402~202602","신규","-","",""
"137","서울특별시 강서구 염창동","252","0252","0000","현진파크뷰","전세","28.4100","202312","28","22,000","0","5","2019","양천로75길 8","202401~202601","신규","-","",""
"138","서울특별시 강서구 염창동","267-10","0267","0010","서경팰리스","전세","28.6900","202312","28","23,140","0","7","2018","공항대로65가길 31","202402~202602","신규","-","",""
"139","서울특별시 구로구 오류동","59-20","0059","0020","칸타빌레5차","전세","21.4700","202312","28","13,500","0","7","2019","경인로 224","202401~202601","신규","-","",""
"140","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","84.1200","202312","28","40,000","0","24","2023","용마산로 670","202402~202602","신규","-","",""
"141","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","84.2700","202312","28","36,000","0","14","2023","용마산로 670","202402~202602","신규","-","",""
"142","서울특별시 중랑구 망우동","508-2","0508","0002","효성 써너스빌 에코","전세","18.5000","202312","28","12,000","0","17","2016","망우로60길 37","202402~202602","신규","-","",""
"143","서울특별시 강남구 개포동","13-3","0013","0003","대청타워","전세","31.9100","202312","28","21,000","0","7","1997","개포로 623","202312~202512","신규","-","",""
"144","서울특별시 동대문구 전농동","620-15","0620","0015","청량리역 우남SL타워300","전세","18.4300","202312","28","20,000","0","16","2023","왕산로 186","202401~202601","신규","-","",""
"145","서울특별시 관악구 봉천동","921-6","0921","0006","청룡오피스텔","전세","13.2000","202312","28","20,000","0","5","2005","청룡4길 32","202401~202601","신규","-","",""
"146","서울특별시 양천구 신정동","319-18","0319","0018","헤리티지Ⅱ","전세","27.0500","202312","28","25,000","0","10","2020","목동서로 301-15","202401~202601","신규","-","",""
"147","서울특별시 송파구 방이동","39","0039","0000","잠실 제니알","전세","23.5400","202312","28","27,000","0","15","2020","올림픽로34길 6","202402~202602","신규","-","",""
"148","서울특별시 동작구 노량진동","16-1","0016","0001","노량진 드림스퀘어 복합빌딩","전세","26.0600","202312","28","25,000","0","16","2020","노들로2길 7","202312~202512","신규","-","",""
"149","서울특별시 서대문구 북아현동","154-6","0154","0006","헤센 스마트 더 센트럴","전세","20.9800","202312","28","26,000","0","17","2023","신촌로33길 16","202401~202601","신규","-","",""
"150","서울특별시 서초구 서초동","1303-16","1303","0016","강남역 I'PARK","전세","29.8200","202312","28","27,900","0","7","2013","서초대로77길 62","202402~202602","신규","-","",""
"151","서울특별시 광진구 능동","222-2","0222","0002","군자 아델리제","전세","17.6500","202312","28","19,800","0","5","2019","천호대로 570","202402~202602","신규","-","",""
"152","서울특별시 영등포구 여의도동","525","0525","0000","브라이튼 여의도","전세","59.9700","202312","28","85,000","0","33","2023","국제금융로 39","202401~202601","신규","-","",""
"153","서울특별시 서대문구 북아현동","154-6","0154","0006","헤센 스마트 더 센트럴","전세","20.9800","202312","28","26,000","0","15","2023","신촌로33길 16","202401~202601","신규","-","",""
"154","서울특별시 강서구 마곡동","758-2","0758","0002","마곡일성트루엘플래닛","전세","21.4300","202312","28","14,400","0","12","2016","마곡중앙로 161-22","202401~202601","신규","-","",""
